time,boiler,fridge,freezer,mw,waterkettle,coffee,lamp,lamp,lmap,lmap,lamp,total
11007,2,0,2,2,0,2,0,0,,0,0,6
11008,0,0,0,2,0,4,0,0,,0,0,8
11009,2,0,2,0,0,4,0,0,,0,0,6
11010,2,0,0,2,0,4,0,0,,0,0,8
11011,2,0,0,2,0,277,0,0,,0,0,281
11012,2,0,2,0,0,4,0,0,,0,0,6
11013,2,0,0,2,0,4,0,0,,0,0,10
11014,2,0,2,0,0,4,0,0,,0,0,8
11015,2,0,0,0,0,4,0,0,,0,0,10
11016,2,0,2,2,0,2,0,0,,0,0,6
11017,2,0,2,2,0,2,0,0,,0,0,6
11018,2,0,0,2,0,4,0,0,,0,0,10
11019,2,0,2,0,0,2,0,0,,0,0,6
11020,2,0,2,2,0,4,0,0,,0,0,10
11021,2,0,2,2,0,2,0,0,,0,0,4
11022,2,0,0,0,0,4,0,0,,0,0,10
11023,2,0,2,2,0,4,0,0,,0,0,8
11024,0,0,2,0,0,4,0,0,,0,0,6
11025,2,0,0,2,0,2,0,0,,0,0,6
11026,2,0,2,0,0,439,0,0,,0,0,441
